mouse_group,task,region,n_total,class_counts,balanced_acc,auc,min_class_n,p_bal,p_auc,null_bal_mean,null_bal_std,null_auc_mean,null_auc_std
cfm007mjr,LC_noreport_vs_corr_rej,M1,99,"{0.0: 69, 1.0: 30}",0.4285714285714286,0.5595238095238095,30,0.7623762376237624,0.4158415841584158,0.5160714285714285,0.11416629425432084,0.5071428571428571,0.143628867922435
cfm007mjr,LC_noreport_vs_corr_rej,V1,99,"{0.0: 69, 1.0: 30}",0.6309523809523809,0.7261904761904762,30,0.16831683168316833,0.09900990099009901,0.5272619047619047,0.10857893405552903,0.5341666666666667,0.12357641746053714
cfm007mjr,LC_noreport_vs_corr_rej,VISa,99,"{0.0: 69, 1.0: 30}",0.6190476190476191,0.7261904761904762,30,0.1782178217821782,0.04950495049504951,0.5028571428571429,0.11585137871477137,0.506547619047619,0.1497766193846213
cfm007mjr,LC_noreport_vs_corr_rej,VISam,99,"{0.0: 69, 1.0: 30}",0.4642857142857143,0.36904761904761907,30,0.6633663366336634,0.8514851485148515,0.5161904761904762,0.124112723980937,0.5178571428571428,0.1499291215761589
cfm007mjr,LC_noreport_vs_corr_rej,VISpm,99,"{0.0: 69, 1.0: 30}",0.4642857142857143,0.5357142857142857,30,0.5841584158415841,0.40594059405940597,0.5076190476190476,0.12053264252405735,0.5029761904761905,0.1510673945950964
cfm007mjr,LC_noreport_vs_corr_rej,ALL_REGIONS_COMBINED,99,"{0.0: 69, 1.0: 30}",0.7023809523809523,0.7023809523809523,30,0.04950495049504951,0.10891089108910891,0.5196428571428571,0.11046919877301102,0.5246428571428571,0.14179421029281258
cfm007mjr,HC_noreport_vs_incorr_rej,M1,576,"{0.0: 507, 1.0: 69}",0.5770308123249299,0.6533613445378151,69,0.12871287128712872,0.0297029702970297,0.48772408963585434,0.0715116268238302,0.4876890756302521,0.08370689169882793
cfm007mjr,HC_noreport_vs_incorr_rej,V1,576,"{0.0: 507, 1.0: 69}",0.5329131652661064,0.49649859943977587,69,0.39603960396039606,0.5742574257425742,0.5066526610644257,0.07457141494566301,0.510532212885154,0.08715581282499542
cfm007mjr,HC_noreport_vs_incorr_rej,VISa,576,"{0.0: 507, 1.0: 69}",0.5672268907563025,0.6127450980392157,69,0.2376237623762376,0.06930693069306931,0.5062745098039216,0.06978451504202887,0.4959873949579831,0.07880562064995544
cfm007mjr,HC_noreport_vs_incorr_rej,VISam,576,"{0.0: 507, 1.0: 69}",0.5168067226890757,0.5763305322128851,69,0.39603960396039606,0.18811881188118812,0.5001750700280112,0.06173686108949291,0.5097268907563026,0.08044666598677748
cfm007mjr,HC_noreport_vs_incorr_rej,VISpm,576,"{0.0: 507, 1.0: 69}",0.5168067226890757,0.5644257703081232,69,0.49504950495049505,0.26732673267326734,0.5087605042016807,0.07072499749659006,0.5123599439775911,0.08591608669574434
cfm007mjr,HC_noreport_vs_incorr_rej,ALL_REGIONS_COMBINED,576,"{0.0: 507, 1.0: 69}",0.569327731092437,0.5749299719887955,69,0.10891089108910891,0.19801980198019803,0.5018697478991596,0.05292867508719679,0.5059243697478992,0.06883076126943355
cfm007mjr,MC_hit_vs_miss,M1,135,"{0.0: 82, 1.0: 53}",0.5085227272727273,0.5625,53,0.48514851485148514,0.31683168316831684,0.4944886363636363,0.09287541433452622,0.4974431818181818,0.11447806177196623
cfm007mjr,MC_hit_vs_miss,V1,135,"{0.0: 82, 1.0: 53}",0.6306818181818181,0.5852272727272727,53,0.10891089108910891,0.24752475247524752,0.48397727272727264,0.10501494138084895,0.4968181818181818,0.12242523861355865
cfm007mjr,MC_hit_vs_miss,VISa,135,"{0.0: 82, 1.0: 53}",0.6164772727272727,0.5795454545454546,53,0.1188118811881188,0.27722772277227725,0.4928977272727273,0.09323247306647457,0.49301136363636366,0.10945976644430282
cfm007mjr,MC_hit_vs_miss,VISam,135,"{0.0: 82, 1.0: 53}",0.6022727272727273,0.7102272727272727,53,0.19801980198019803,0.019801980198019802,0.5134090909090908,0.09281479130794396,0.5047727272727274,0.10803740838973439
