,trial_index,trial_id,trial_type,stage,roi_name,interval_start_s,interval_end_s,theta_deg,R,mean_amp,mean_k_rad_per_px,mean_lambda_px,mean_speed_px_s,mean_freq_hz
316,26,trial_26,,pre_onset,V1,159.20716799989373,159.45716799989373,120.37703757516724,0.2929800719545728,0.006471775495540198,0.05506808654116154,114.09848610743205,116.93153983960659,0.9972251146326521
317,26,trial_26,,post_onset,V1,159.45716799989373,159.70716799989373,53.07194120594578,0.46148869130227255,0.004066583143289814,0.04232128781471814,148.4639440720061,222.17818941529487,1.8696339198815275
318,26,trial_26,,pre_offset,V1,160.72132399989272,160.97132399989272,-136.65349672240913,0.1860406989194287,0.004622994725278248,0.04389940304364536,143.12689630273016,322.13989863340504,1.7660517048294033
319,26,trial_26,,post_offset,V1,160.97132399989272,161.22132399989272,-170.2469737579817,0.816472172210307,0.017991541100160276,0.013802209228068584,455.23040575286404,1440.2919758344751,3.0422467964657613
320,26,trial_26,,pre_onset,M2,159.20716799989373,159.45716799989373,-108.80072314037896,0.10734303729019466,0.0020896731193948935,0.1295104140206679,48.514904030627875,339.76773724617607,6.96943919914195
321,26,trial_26,,post_onset,M2,159.45716799989373,159.70716799989373,-3.17704666059468,0.14805284128240512,0.00118857696561178,0.13772373400188545,45.62165956881164,421.52691346220166,8.3269808744579
322,26,trial_26,,pre_offset,M2,160.72132399989272,160.97132399989272,175.35410275246718,0.5355628725645535,0.001770293307632169,0.1004421581957372,62.55525986344494,271.0987575273178,4.962347798325048
323,26,trial_26,,post_offset,M2,160.97132399989272,161.22132399989272,-162.0487944604598,0.4507172273893409,0.0027541710686366182,0.08012926361938316,78.41311679868842,214.53806278146996,2.806505749492138
324,27,trial_27,,pre_onset,SSC,165.65823599988943,165.90823599988943,-43.426628607897136,0.3729456921828956,0.007201257383722846,0.06870970297495255,91.44538595182198,252.87379325784428,2.99787101717531
325,27,trial_27,,post_onset,SSC,165.90823599988943,166.15823599988943,116.88484578343223,0.44231563854438005,0.01379085989625156,0.04636427540376748,135.51781522437048,309.5307059230864,2.6428926547572056
326,27,trial_27,,pre_offset,SSC,167.1914779998884,167.4414779998884,65.20081564036934,0.4771168358427885,0.0032742243076642275,0.11796939321458247,53.26114796361356,161.38132177128583,3.009343658061075
327,27,trial_27,,post_offset,SSC,167.4414779998884,167.6914779998884,-59.34060475422406,0.4155191966375235,0.009288196463636558,0.04685205941536211,134.10691836353774,297.4944377904219,2.5446681210937507
328,27,trial_27,,pre_onset,V1,165.65823599988943,165.90823599988943,89.99709387202627,0.05286041781781954,0.004417496408539561,0.05115929186677168,122.81611175428641,599.5960200028562,4.076686408192702
329,27,trial_27,,post_onset,V1,165.90823599988943,166.15823599988943,-150.81489145967865,0.21528877474440267,0.0021097017463722755,0.08566865006331115,73.34287749995084,501.64469360674275,6.901848202074907
330,27,trial_27,,pre_offset,V1,167.1914779998884,167.4414779998884,-148.51398128245089,0.3539055170234161,0.0028295440320508744,0.0653595560331786,96.13261913820284,669.6384142004246,7.66760765785777
331,27,trial_27,,post_offset,V1,167.4414779998884,167.6914779998884,-179.39300268106757,0.7634596353378091,0.016077040474000825,0.014317312779551422,438.8522765356842,1344.2893540047755,3.8492560467669077
332,27,trial_27,,pre_onset,M2,165.65823599988943,165.90823599988943,-81.38379201703194,0.025657726967275772,0.0013948977786699848,0.09988613014654217,62.903481173628144,340.1514905910616,5.143997600681041
333,27,trial_27,,post_onset,M2,165.90823599988943,166.15823599988943,112.8812971258007,0.3875904159982009,0.0011844715098537598,0.1327021434377919,47.3480317981828,408.1183939216142,7.964522805359845
334,27,trial_27,,pre_offset,M2,167.1914779998884,167.4414779998884,136.90146745131116,0.2219011749520445,0.0010041118702779363,0.14436089997667015,43.52414890870726,543.1469316203614,12.639767267292696
335,27,trial_27,,post_offset,M2,167.4414779998884,167.6914779998884,159.4407529430408,0.3173671685805234,0.0030691462106598047,0.07325248677808346,85.77436184814223,665.0957109731821,5.1817858725299475
